CHARGER_ID,OSM_ID,geometry,LON,LAT,PLUG_COUNT,PLUG_POWER,CHARGER_TYPE
10,way/28473085,"POLYGON ((10.6347081 52.3133048, 10.6338251 52.312909, 10.6337971 52.3128878, 10.633801 52.3128526, 10.6338401 52.3128068, 10.6337676 52.3127621, 10.6337387 52.3127467, 10.6336958 52.3127215, 10.633928 52.3125628, 10.634093 52.3124491, 10.6340586 52.3105428, 10.6350248 52.3105364, 10.6356289 52.3105324, 10.6365961 52.3105416, 10.6365965 52.3105903, 10.6365971 52.3106539, 10.6366079 52.3118991, 10.6365392 52.3119499, 10.6357926 52.3125023, 10.6358328 52.3126651, 10.6355345 52.3128965, 10.6352359 52.3129142, 10.6350703 52.3130241, 10.6347939 52.3132383, 10.6347081 52.3133048))",10.635186055635476,52.31171718602787,5,100,DC
11,way/29154431,"POLYGON ((7.1754632 51.7700175, 7.175587 51.7701842, 7.1760442 51.7729438, 7.1759312 51.773132, 7.1756623 51.7727555, 7.1748756 51.772243, 7.1747579 51.7714193, 7.1748946 51.7713179, 7.1750813 51.7711794, 7.1749415 51.7704855, 7.1754372 51.7700408, 7.1754632 51.7700175))",7.1754052340663526,51.77158114904564,5,100,DC
12,way/29872581,"POLYGON ((12.0930353 48.9595751, 12.0930746 48.9595504, 12.0935091 48.9595786, 12.093798 48.9598431, 12.093876 48.9600571, 12.0939479 48.9603633, 12.0939793 48.9605877, 12.0939962 48.9608193, 12.0939309 48.9609698, 12.09382 48.9611064, 12.0936922 48.9612077, 12.0935383 48.9613088, 12.0934244 48.9614272, 12.0933472 48.961572, 12.0932193 48.9618422, 12.0931204 48.9620135, 12.0929708 48.9622113, 12.0928419 48.9623559, 12.0926644 48.9625129, 12.0925269 48.9625949, 12.0923894 48.9626408, 12.0923879 48.9626406, 12.0922953 48.9626287, 12.0921988 48.9625949, 12.0920733 48.962759, 12.0919093 48.9628675, 12.0918444 48.962841, 12.0918043 48.9628256, 12.0919959 48.9625343, 12.0920782 48.9624091, 12.0924183 48.9618277, 12.0926666 48.9612823, 12.0928719 48.9606287, 12.0930456 48.9598301, 12.0930353 48.9595751))",12.093110824594838,48.96108544239745,5,100,DC
13,way/32340174,"POLYGON ((12.5886644 47.8277726, 12.5888105 47.827702, 12.5892301 47.827626, 12.5897286 47.8276284, 12.5897768 47.8277677, 12.5900289 47.8277569, 12.59005 47.8278073, 12.5912766 47.8278062, 12.591557 47.8278534, 12.5915611 47.8279227, 12.591566 47.8279885, 12.5884073 47.8281671, 12.5883746 47.8280946, 12.5883634 47.8280443, 12.5886898 47.8279668, 12.5886644 47.8277726))",12.589776699677314,47.82791168493191,5,100,DC
14,way/32340175,"POLYGON ((12.5870853 47.8284859, 12.5897846 47.8283198, 12.5906257 47.8282719, 12.5914193 47.8282638, 12.5918077 47.8282649, 12.5921962 47.8282755, 12.5924349 47.8282773, 12.5927943 47.8282971, 12.5930518 47.8282953, 12.5933281 47.8282989, 12.5936821 47.82828, 12.5936789 47.8283248, 12.5933844 47.828371, 12.5931323 47.828452, 12.5929472 47.828533, 12.5927621 47.8286357, 12.5926146 47.8287275, 12.5925288 47.8287779, 12.5924697 47.8288031, 12.59229 47.8288139, 12.5919521 47.8288265, 12.5915744 47.8291986, 12.5914264 47.8292025, 12.5914246 47.8292307, 12.5913404 47.8292317, 12.5912393 47.829233, 12.5911957 47.8291732, 12.5911776 47.829152, 12.5911488 47.8291453, 12.5910328 47.8291507, 12.5905195 47.8291905, 12.5900526 47.8294307, 12.5894596 47.8294561, 12.5890231 47.8294774, 12.5887308 47.8294937, 12.5884666 47.8295085, 12.5883861 47.8294982, 12.5883096 47.8294739, 12.5882453 47.8294325, 12.5881983 47.8293964, 12.5881608 47.8293748, 12.5881358 47.8293606, 12.5878148 47.8293613, 12.587641 47.8292304, 12.5874567 47.829102, 12.587159 47.8288878, 12.5869984 47.8288165, 12.5870853 47.8284859))",12.589867609585026,47.82879797684663,5,100,DC
15,way/32514139,"POLYGON ((10.8540202 49.6985221, 10.8541164 49.6981091, 10.8548826 49.6981838, 10.8553437 49.6982616, 10.8550934 49.6987124, 10.8549561 49.69875, 10.8542829 49.6986968, 10.8540645 49.6986345, 10.8540202 49.6985221))",10.854633307400535,49.69843332417859,5,100,DC
16,way/33804997,"POLYGON ((10.1441562 51.9292592, 10.1440311 51.9291297, 10.1442016 51.9289039, 10.1438834 51.9282691, 10.1430339 51.9268582, 10.1426675 51.9260153, 10.142074 51.9252755, 10.1411369 51.9244369, 10.141152 51.9243992, 10.1429764 51.9249915, 10.1434731 51.9251527, 10.1440622 51.9253672, 10.1442191 51.9255723, 10.1459546 51.9257051, 10.1460152 51.9258936, 10.1460289 51.9259361, 10.1461664 51.9263634, 10.1461905 51.9267752, 10.146153 51.9271557, 10.1460886 51.9275923, 10.1458928 51.9282142, 10.1457158 51.9284871, 10.1441562 51.9292592))",10.144320435772373,51.92678267818914,5,100,DC
17,way/36851158,"POLYGON ((8.8745925 52.2084852, 8.8746929 52.2086103, 8.8748726 52.2092611, 8.8750957 52.2100289, 8.8752906 52.2107126, 8.8753088 52.2108457, 8.8751678 52.2108608, 8.8717155 52.2109806, 8.8694608 52.2109147, 8.8691405 52.2101977, 8.8699913 52.2100616, 8.8700334 52.2100085, 8.8700226 52.2084982, 8.8710786 52.208506, 8.8725585 52.208523, 8.8745925 52.2084852))",8.872368916859443,52.209781415206386,5,100,DC
18,way/39323848,"POLYGON ((10.7226138 50.8972841, 10.7226316 50.8968093, 10.7226709 50.8967428, 10.7227618 50.8967091, 10.7251445 50.8967469, 10.7253927 50.8967563, 10.7255613 50.8967405, 10.7256647 50.8966974, 10.7257878 50.8966078, 10.7258769 50.8965617, 10.7260028 50.8965349, 10.7262612 50.896518, 10.7266857 50.896509, 10.7266812 50.8966164, 10.7266113 50.8966752, 10.7265928 50.8968328, 10.726602 50.8970686, 10.7266351 50.8972037, 10.7266598 50.897273, 10.7268291 50.8975739, 10.7269434 50.8977823, 10.7270443 50.8981125, 10.7270289 50.8986927, 10.7269381 50.8986925, 10.7265992 50.898688, 10.7266024 50.8987633, 10.726317 50.8987593, 10.726315 50.8986848, 10.7253271 50.8986731, 10.7242816 50.8986668, 10.7242771 50.8978349, 10.7242902 50.8973821, 10.7242833 50.8973356, 10.724235 50.8972997, 10.7226138 50.8972841))",10.72527219925865,50.897601877000774,5,100,DC
19,way/40195571,"POLYGON ((7.1532012 51.476501, 7.1531579 51.4764947, 7.1516125 51.4762686, 7.1517871 51.4757609, 7.1518283 51.4756663, 7.1518673 51.4755821, 7.1532018 51.4757958, 7.1533939 51.4758334, 7.1534836 51.4758491, 7.1534591 51.4759185, 7.1532958 51.4763606, 7.1532479 51.4763647, 7.1532012 51.476501))",7.152539857750907,51.47604660355492,5,100,DC
20,way/45337845,"POLYGON ((14.3285261 51.1996806, 14.3290233 51.1997199, 14.333724 51.1988798, 14.333264 51.1992088, 14.3328544 51.1995602, 14.3328406 51.1996728, 14.3328771 51.1997701, 14.332992 51.1999387, 14.333118 51.2000251, 14.3327324 51.2002465, 14.3323841 51.2003714, 14.3309881 51.2007542, 14.3306362 51.2009049, 14.3302321 51.200703, 14.3299662 51.2005357, 14.3297467 51.2004066, 14.3292958 51.2001415, 14.3289814 51.1999566, 14.3285261 51.1996806))",14.331233393081407,51.19991084873966,5,100,DC
21,way/45338179,"POLYGON ((14.3267893 51.1992617, 14.326687 51.1990708, 14.3274059 51.1985229, 14.3277724 51.1981846, 14.32792 51.1980483, 14.3286772 51.1978708, 14.3294637 51.1975985, 14.329979 51.1974941, 14.3304788 51.1974128, 14.3305075 51.1974302, 14.3308256 51.1976238, 14.330961 51.1977129, 14.3313009 51.1979168, 14.3314689 51.1980147, 14.3317501 51.1981971, 14.332104 51.1983878, 14.3319052 51.1984043, 14.3289359 51.1988963, 14.3267893 51.1992617))",14.329339394627905,51.19832673924229,5,100,DC
22,way/45522608,"POLYGON ((11.7844396 50.3248328, 11.7843553 50.3245368, 11.7845543 50.3243691, 11.7860705 50.3248092, 11.7866758 50.325351, 11.7869463 50.3255604, 11.786829 50.3257043, 11.7868219 50.3257342, 11.7866591 50.3264157, 11.7866016 50.3264364, 11.7864468 50.3264921, 11.7863693 50.3264731, 11.7863336 50.3264535, 11.7863133 50.3264423, 11.7860492 50.3261197, 11.7857234 50.3257918, 11.784887 50.3251613, 11.7844819 50.3248638, 11.7844396 50.3248328))",11.785772418105248,50.325327803242445,5,100,DC
23,way/46492489,"POLYGON ((10.9288504 49.5839201, 10.9284501 49.5839972, 10.9281123 49.5839725, 10.927978 49.5839623, 10.9278703 49.5838961, 10.9284209 49.5824573, 10.9291593 49.5808967, 10.9291407 49.5806165, 10.9300078 49.5789857, 10.9302356 49.5791818, 10.9305136 49.5794696, 10.9306347 49.5799696, 10.9302297 49.5808531, 10.9308686 49.5815667, 10.9303177 49.5828252, 10.9290487 49.5832978, 10.9288504 49.5839201))",10.929531720995294,49.581737879411925,5,100,DC
24,way/46492727,"POLYGON ((10.927415 49.5824679, 10.9272525 49.5833793, 10.9271791 49.5833313, 10.9270286 49.5833045, 10.9263107 49.5828765, 10.9256465 49.5820823, 10.9256043 49.5818121, 10.9262198 49.5807279, 10.9263394 49.5807364, 10.9268718 49.5804763, 10.9273371 49.5795371, 10.9275154 49.5794748, 10.9286486 49.5793322, 10.9287373 49.5792859, 10.9289562 49.5793444, 10.927415 49.5824679))",10.92717042366954,49.58122966323779,5,100,DC
25,way/48869559,"POLYGON ((7.7689518 49.9623444, 7.7691127 49.9624099, 7.7691985 49.9624479, 7.769587 49.9631384, 7.7699265 49.9633919, 7.7700479 49.9636363, 7.7697561 49.9638372, 7.7693409 49.9639044, 7.7693196 49.9639978, 7.7691957 49.9645411, 7.7689228 49.9645485, 7.7689213 49.9648417, 7.7686781 49.965093, 7.7684541 49.9652158, 7.7680379 49.9652987, 7.7675663 49.9650749, 7.7672005 49.9652714, 7.7666217 49.965435, 7.7662477 49.9656672, 7.765956 49.9657576, 7.7652299 49.9658508, 7.7651097 49.965813, 7.7649539 49.9657063, 7.7656312 49.9652499, 7.7666719 49.9644425, 7.7679701 49.9633244, 7.7686245 49.9626515, 7.7689518 49.9623444))",7.7679143803066895,49.964255782366806,5,100,DC
